State,State Code,Year,Year Code,Deaths,Population,Crude Rate,% of Total Deaths
Alabama,1,1999,1999,787,4430141,17.8,0.10%
Alabama,1,2000,2000,764,4447100,17.2,0.10%
Alabama,1,2001,2001,737,4467634,16.5,0.10%
Alabama,1,2002,2002,724,4480089,16.2,0.10%
Alabama,1,2003,2003,764,4503491,17,0.10%
Alabama,1,2004,2004,677,4530729,14.9,0.10%
Alabama,1,2005,2005,731,4569805,16,0.10%
Alabama,1,2006,2006,778,4628981,16.8,0.10%
Alabama,1,2007,2007,811,4672840,17.4,0.10%
Alabama,1,2008,2008,819,4718206,17.4,0.10%
Alabama,1,2009,2009,829,4757938,17.4,0.10%
Alabama,1,2010,2010,781,4779736,16.3,0.10%
Alabama,1,2011,2011,784,4802740,16.3,0.10%
Alabama,1,2012,2012,829,4822023,17.2,0.10%
Alabama,1,2013,2013,853,4833722,17.6,0.20%
Alabama,1,2014,2014,809,4849377,16.7,0.10%
Alabama,1,2015,2015,953,4858979,19.6,0.20%
Alabama,1,2016,2016,1034,4863300,21.3,0.20%
Alaska,2,1999,1999,87,624779,13.9,0.00%
Alaska,2,2000,2000,115,626932,18.3,0.00%
Alaska,2,2001,2001,95,633714,15,0.00%
Alaska,2,2002,2002,125,642337,19.5,0.00%
Alaska,2,2003,2003,120,648414,18.5,0.00%
Alaska,2,2004,2004,116,659286,17.6,0.00%
Alaska,2,2005,2005,116,666946,17.4,0.00%
Alaska,2,2006,2006,111,675302,16.4,0.00%
Alaska,2,2007,2007,120,680300,17.6,0.00%
Alaska,2,2008,2008,139,687455,20.2,0.00%
Alaska,2,2009,2009,102,698895,14.6,0.00%
Alaska,2,2010,2010,143,710231,20.1,0.00%
Alaska,2,2011,2011,125,722718,17.3,0.00%
Alaska,2,2012,2012,129,731449,17.6,0.00%
Alaska,2,2013,2013,144,735132,19.6,0.00%
Alaska,2,2014,2014,145,736732,19.7,0.00%
Alaska,2,2015,2015,175,738432,23.7,0.00%
Alaska,2,2016,2016,171,741894,23,0.00%
Arizona,4,1999,1999,805,5023823,16,0.10%
Arizona,4,2000,2000,788,5130632,15.4,0.10%
Arizona,4,2001,2001,829,5273477,15.7,0.10%
Arizona,4,2002,2002,953,5396255,17.7,0.20%
Arizona,4,2003,2003,837,5510364,15.2,0.10%
Arizona,4,2004,2004,879,5652404,15.6,0.20%
Arizona,4,2005,2005,927,5839077,15.9,0.20%
Arizona,4,2006,2006,973,6029141,16.1,0.20%
Arizona,4,2007,2007,937,6167681,15.2,0.20%
Arizona,4,2008,2008,898,6280362,14.3,0.20%
Arizona,4,2009,2009,849,6343154,13.4,0.20%
Arizona,4,2010,2010,919,6392017,14.4,0.20%
Arizona,4,2011,2011,952,6482505,14.7,0.20%
Arizona,4,2012,2012,933,6553255,14.2,0.20%
Arizona,4,2013,2013,928,6626624,14,0.20%
Arizona,4,2014,2014,915,6731484,13.6,0.20%
Arizona,4,2015,2015,956,6828065,14,0.20%
Arizona,4,2016,2016,1081,6931071,15.6,0.20%
Arkansas,5,1999,1999,383,2651860,14.4,0.10%
Arkansas,5,2000,2000,412,2673400,15.4,0.10%
Arkansas,5,2001,2001,406,2691571,15.1,0.10%
Arkansas,5,2002,2002,438,2705927,16.2,0.10%
Arkansas,5,2003,2003,404,2724816,14.8,0.10%
Arkansas,5,2004,2004,400,2749686,14.5,0.10%
Arkansas,5,2005,2005,437,2781097,15.7,0.10%
Arkansas,5,2006,2006,424,2821761,15,0.10%
Arkansas,5,2007,2007,423,2848650,14.8,0.10%
Arkansas,5,2008,2008,444,2874554,15.4,0.10%
Arkansas,5,2009,2009,463,2896843,16,0.10%
Arkansas,5,2010,2010,417,2915918,14.3,0.10%
Arkansas,5,2011,2011,458,2937979,15.6,0.10%
Arkansas,5,2012,2012,485,2949131,16.4,0.10%
Arkansas,5,2013,2013,499,2959373,16.9,0.10%
Arkansas,5,2014,2014,496,2966369,16.7,0.10%
Arkansas,5,2015,2015,517,2978204,17.4,0.10%
Arkansas,5,2016,2016,535,2988248,17.9,0.10%
California,6,1999,1999,2990,33499204,8.9,0.50%
California,6,2000,2000,3046,33871648,9,0.50%
California,6,2001,2001,3142,34479458,9.1,0.60%
California,6,2002,2002,3360,34871843,9.6,0.60%
California,6,2003,2003,3388,35253159,9.6,0.60%
California,6,2004,2004,3240,35574576,9.1,0.60%
California,6,2005,2005,3368,35827943,9.4,0.60%
California,6,2006,2006,3276,36021202,9.1,0.60%
California,6,2007,2007,3188,36250311,8.8,0.60%
California,6,2008,2008,3101,36604337,8.5,0.50%
California,6,2009,2009,3027,36961229,8.2,0.50%
California,6,2010,2010,2871,37253956,7.7,0.50%
California,6,2011,2011,2921,37691912,7.7,0.50%
California,6,2012,2012,2956,38041430,7.8,0.50%
California,6,2013,2013,2929,38332521,7.6,0.50%
California,6,2014,2014,2853,38802500,7.4,0.50%
California,6,2015,2015,2992,39144818,7.6,0.50%
California,6,2016,2016,3110,39250017,7.9,0.50%
Colorado,8,1999,1999,446,4226018,10.6,0.10%
Colorado,8,2000,2000,440,4301261,10.2,0.10%
Colorado,8,2001,2001,503,4425687,11.4,0.10%
Colorado,8,2002,2002,508,4490406,11.3,0.10%
Colorado,8,2003,2003,491,4528732,10.8,0.10%
Colorado,8,2004,2004,542,4575013,11.8,0.10%
Colorado,8,2005,2005,525,4631888,11.3,0.10%
Colorado,8,2006,2006,489,4720423,10.4,0.10%
Colorado,8,2007,2007,499,4803868,10.4,0.10%
Colorado,8,2008,2008,508,4889730,10.4,0.10%
Colorado,8,2009,2009,575,4972195,11.6,0.10%
Colorado,8,2010,2010,538,5029196,10.7,0.10%
Colorado,8,2011,2011,561,5116796,11,0.10%
Colorado,8,2012,2012,666,5187582,12.8,0.10%
Colorado,8,2013,2013,611,5268367,11.6,0.10%
Colorado,8,2014,2014,653,5355866,12.2,0.10%
Colorado,8,2015,2015,689,5456574,12.6,0.10%
Colorado,8,2016,2016,793,5540545,14.3,0.10%
Connecticut,9,1999,1999,197,3386401,5.8,0.00%
Connecticut,9,2000,2000,179,3405565,5.3,0.00%
Connecticut,9,2001,2001,191,3432835,5.6,0.00%
Connecticut,9,2002,2002,146,3458749,4.2,0.00%
Connecticut,9,2003,2003,153,3484336,4.4,0.00%
Connecticut,9,2004,2004,172,3496094,4.9,0.00%
Connecticut,9,2005,2005,187,3506956,5.3,0.00%
Connecticut,9,2006,2006,173,3517460,4.9,0.00%
Connecticut,9,2007,2007,149,3527270,4.2,0.00%
Connecticut,9,2008,2008,199,3545579,5.6,0.00%
Connecticut,9,2009,2009,173,3561807,4.9,0.00%
Connecticut,9,2010,2010,209,3574097,5.8,0.00%
Connecticut,9,2011,2011,210,3580709,5.9,0.00%
Connecticut,9,2012,2012,227,3590347,6.3,0.00%
Connecticut,9,2013,2013,158,3596080,4.4,0.00%
Connecticut,9,2014,2014,187,3596677,5.2,0.00%
Connecticut,9,2015,2015,186,3590886,5.2,0.00%
Connecticut,9,2016,2016,169,3576452,4.7,0.00%
Delaware,10,1999,1999,64,774990,8.3,0.00%
Delaware,10,2000,2000,51,783600,6.5,0.00%
Delaware,10,2001,2001,75,795699,9.4,0.00%
Delaware,10,2002,2002,73,806169,9.1,0.00%
Delaware,10,2003,2003,64,818003,7.8,0.00%
Delaware,10,2004,2004,74,830803,8.9,0.00%
Delaware,10,2005,2005,75,845150,8.9,0.00%
Delaware,10,2006,2006,76,859268,8.8,0.00%
Delaware,10,2007,2007,78,871749,8.9,0.00%
Delaware,10,2008,2008,95,883874,10.7,0.00%
Delaware,10,2009,2009,74,891730,8.3,0.00%
Delaware,10,2010,2010,88,897934,9.8,0.00%
Delaware,10,2011,2011,77,907135,8.5,0.00%
Delaware,10,2012,2012,92,917092,10,0.00%
Delaware,10,2013,2013,99,925749,10.7,0.00%
Delaware,10,2014,2014,98,935614,10.5,0.00%
Delaware,10,2015,2015,110,945934,11.6,0.00%
Delaware,10,2016,2016,111,952065,11.7,0.00%
District of Columbia,11,1999,1999,159,570213,27.9,0.00%
District of Columbia,11,2000,2000,148,572059,25.9,0.00%
District of Columbia,11,2001,2001,166,574504,28.9,0.00%
District of Columbia,11,2002,2002,195,573158,34,0.00%
District of Columbia,11,2003,2003,167,568502,29.4,0.00%
District of Columbia,11,2004,2004,143,567754,25.2,0.00%
District of Columbia,11,2005,2005,153,567136,27,0.00%
District of Columbia,11,2006,2006,133,570681,23.3,0.00%
District of Columbia,11,2007,2007,141,574404,24.5,0.00%
District of Columbia,11,2008,2008,134,580236,23.1,0.00%
District of Columbia,11,2009,2009,109,592228,18.4,0.00%
District of Columbia,11,2010,2010,99,601723,16.5,0.00%
District of Columbia,11,2011,2011,84,617996,13.6,0.00%
District of Columbia,11,2012,2012,65,632323,10.3,0.00%
District of Columbia,11,2013,2013,67,646449,10.4,0.00%
District of Columbia,11,2014,2014,81,658893,12.3,0.00%
District of Columbia,11,2015,2015,116,672228,17.3,0.00%
District of Columbia,11,2016,2016,103,681170,15.1,0.00%
Florida,12,1999,1999,1709,15759421,10.8,0.30%
Florida,12,2000,2000,1677,15982378,10.5,0.30%
Florida,12,2001,2001,1807,16356966,11,0.30%
Florida,12,2002,2002,1874,16689370,11.2,0.30%
Florida,12,2003,2003,1932,17004085,11.4,0.30%
Florida,12,2004,2004,1879,17415318,10.8,0.30%
Florida,12,2005,2005,1824,17842038,10.2,0.30%
Florida,12,2006,2006,2065,18166990,11.4,0.40%
Florida,12,2007,2007,2251,18367842,12.3,0.40%
Florida,12,2008,2008,2316,18527305,12.5,0.40%
Florida,12,2009,2009,2306,18652644,12.4,0.40%
Florida,12,2010,2010,2251,18801310,12,0.40%
Florida,12,2011,2011,2355,19057542,12.4,0.40%
Florida,12,2012,2012,2449,19317568,12.7,0.40%
Florida,12,2013,2013,2415,19552860,12.4,0.40%
Florida,12,2014,2014,2387,19893297,12,0.40%
Florida,12,2015,2015,2543,20271272,12.5,0.40%
Florida,12,2016,2016,2690,20612439,13.1,0.50%
Georgia,13,1999,1999,1099,8045965,13.7,0.20%
Georgia,13,2000,2000,1090,8186453,13.3,0.20%
Georgia,13,2001,2001,1115,8377038,13.3,0.20%
Georgia,13,2002,2002,1118,8508256,13.1,0.20%
Georgia,13,2003,2003,1167,8622793,13.5,0.20%
Georgia,13,2004,2004,1055,8769252,12,0.20%
Georgia,13,2005,2005,1054,8925922,11.8,0.20%
Georgia,13,2006,2006,1124,9155813,12.3,0.20%
Georgia,13,2007,2007,1234,9349988,13.2,0.20%
Georgia,13,2008,2008,1167,9504843,12.3,0.20%
Georgia,13,2009,2009,1237,9620846,12.9,0.20%
Georgia,13,2010,2010,1216,9687653,12.6,0.20%
Georgia,13,2011,2011,1218,9815210,12.4,0.20%
Georgia,13,2012,2012,1273,9919945,12.8,0.20%
Georgia,13,2013,2013,1248,9992167,12.5,0.20%
Georgia,13,2014,2014,1381,10097343,13.7,0.20%
Georgia,13,2015,2015,1432,10214860,14,0.30%
Georgia,13,2016,2016,1557,10310371,15.1,0.30%
Hawaii,15,1999,1999,42,1210300,3.5,0.00%
Hawaii,15,2000,2000,51,1211537,4.2,0.00%
Hawaii,15,2001,2001,44,1225948,3.6,0.00%
Hawaii,15,2002,2002,36,1239613,2.9,0.00%
Hawaii,15,2003,2003,36,1251154,2.9,0.00%
Hawaii,15,2004,2004,39,1273569,3.1,0.00%
Hawaii,15,2005,2005,28,1292729,2.2,0.00%
Hawaii,15,2006,2006,32,1309731,2.4,0.00%
Hawaii,15,2007,2007,36,1315675,2.7,0.00%
Hawaii,15,2008,2008,40,1332213,3,0.00%
Hawaii,15,2009,2009,46,1346717,3.4,0.00%
Hawaii,15,2010,2010,45,1360301,3.3,0.00%
Hawaii,15,2011,2011,45,1374810,3.3,0.00%
Hawaii,15,2012,2012,49,1392313,3.5,0.00%
Hawaii,15,2013,2013,36,1404054,2.6,0.00%
Hawaii,15,2014,2014,39,1419561,2.7,0.00%
Hawaii,15,2015,2015,53,1431603,3.7,0.00%
Hawaii,15,2016,2016,62,1428557,4.3,0.00%
Idaho,16,1999,1999,151,1275674,11.8,0.00%
Idaho,16,2000,2000,125,1293953,9.7,0.00%
Idaho,16,2001,2001,171,1319962,13,0.00%
Idaho,16,2002,2002,161,1340372,12,0.00%
Idaho,16,2003,2003,162,1363380,11.9,0.00%
Idaho,16,2004,2004,174,1391802,12.5,0.00%
Idaho,16,2005,2005,194,1428241,13.6,0.00%
Idaho,16,2006,2006,177,1468669,12.1,0.00%
Idaho,16,2007,2007,183,1505105,12.2,0.00%
Idaho,16,2008,2008,169,1534320,11,0.00%
Idaho,16,2009,2009,192,1554439,12.4,0.00%
Idaho,16,2010,2010,198,1567582,12.6,0.00%
Idaho,16,2011,2011,190,1584985,12,0.00%
Idaho,16,2012,2012,203,1595728,12.7,0.00%
Idaho,16,2013,2013,224,1612136,13.9,0.00%
Idaho,16,2014,2014,209,1634464,12.8,0.00%
Idaho,16,2015,2015,243,1654930,14.7,0.00%
Idaho,16,2016,2016,236,1683140,14,0.00%
Illinois,17,1999,1999,1204,12359020,9.7,0.20%
Illinois,17,2000,2000,1126,12419293,9.1,0.20%
Illinois,17,2001,2001,1280,12488445,10.2,0.20%
Illinois,17,2002,2002,1225,12525556,9.8,0.20%
Illinois,17,2003,2003,1138,12556006,9.1,0.20%
Illinois,17,2004,2004,989,12589773,7.9,0.20%
Illinois,17,2005,2005,1018,12609903,8.1,0.20%
Illinois,17,2006,2006,1032,12643955,8.2,0.20%
Illinois,17,2007,2007,1025,12695866,8.1,0.20%
Illinois,17,2008,2008,1094,12747038,8.6,0.20%
Illinois,17,2009,2009,1048,12796778,8.2,0.20%
Illinois,17,2010,2010,1054,12830632,8.2,0.20%
Illinois,17,2011,2011,1097,12869257,8.5,0.20%
Illinois,17,2012,2012,1164,12875255,9,0.20%
Illinois,17,2013,2013,1101,12882135,8.5,0.20%
Illinois,17,2014,2014,1169,12880580,9.1,0.20%
Illinois,17,2015,2015,1209,12859995,9.4,0.20%
Illinois,17,2016,2016,1474,12801539,11.5,0.30%
Indiana,18,1999,1999,672,6044969,11.1,0.10%
Indiana,18,2000,2000,662,6080485,10.9,0.10%
Indiana,18,2001,2001,726,6127760,11.8,0.10%
Indiana,18,2002,2002,717,6155967,11.6,0.10%
Indiana,18,2003,2003,687,6196638,11.1,0.10%
Indiana,18,2004,2004,631,6233007,10.1,0.10%
Indiana,18,2005,2005,695,6278616,11.1,0.10%
Indiana,18,2006,2006,734,6332669,11.6,0.10%
Indiana,18,2007,2007,665,6379599,10.4,0.10%
Indiana,18,2008,2008,716,6424806,11.1,0.10%
Indiana,18,2009,2009,731,6459325,11.3,0.10%
Indiana,18,2010,2010,704,6483802,10.9,0.10%
Indiana,18,2011,2011,628,6516922,9.6,0.10%
Indiana,18,2012,2012,787,6537334,12,0.10%
Indiana,18,2013,2013,842,6570902,12.8,0.10%
Indiana,18,2014,2014,809,6596855,12.3,0.10%
Indiana,18,2015,2015,834,6619680,12.6,0.10%
Indiana,18,2016,2016,986,6633053,14.9,0.20%
Iowa,19,1999,1999,198,2917634,6.8,0.00%
Iowa,19,2000,2000,188,2926324,6.4,0.00%
Iowa,19,2001,2001,188,2931997,6.4,0.00%
Iowa,19,2002,2002,195,2934234,6.6,0.00%
Iowa,19,2003,2003,206,2941999,7,0.00%
Iowa,19,2004,2004,189,2953635,6.4,0.00%
Iowa,19,2005,2005,198,2964454,6.7,0.00%
Iowa,19,2006,2006,193,2982644,6.5,0.00%
Iowa,19,2007,2007,154,2999212,5.1,0.00%
Iowa,19,2008,2008,222,3016734,7.4,0.00%
Iowa,19,2009,2009,191,3032870,6.3,0.00%
Iowa,19,2010,2010,213,3046355,7,0.00%
Iowa,19,2011,2011,219,3062309,7.2,0.00%
Iowa,19,2012,2012,216,3074186,7,0.00%
Iowa,19,2013,2013,251,3090416,8.1,0.00%
Iowa,19,2014,2014,235,3107126,7.6,0.00%
Iowa,19,2015,2015,244,3123899,7.8,0.00%
Iowa,19,2016,2016,287,3134693,9.2,0.10%
Kansas,20,1999,1999,268,2678338,10,0.00%
Kansas,20,2000,2000,299,2688418,11.1,0.10%
Kansas,20,2001,2001,265,2702162,9.8,0.00%
Kansas,20,2002,2002,268,2713535,9.9,0.00%
Kansas,20,2003,2003,298,2723004,10.9,0.10%
Kansas,20,2004,2004,292,2734373,10.7,0.10%
Kansas,20,2005,2005,255,2745299,9.3,0.00%
Kansas,20,2006,2006,291,2762931,10.5,0.10%
Kansas,20,2007,2007,288,2783785,10.3,0.10%
Kansas,20,2008,2008,275,2808076,9.8,0.00%
Kansas,20,2009,2009,300,2832704,10.6,0.10%
Kansas,20,2010,2010,292,2853118,10.2,0.10%
Kansas,20,2011,2011,323,2871238,11.2,0.10%
Kansas,20,2012,2012,372,2885905,12.9,0.10%
Kansas,20,2013,2013,328,2893957,11.3,0.10%
Kansas,20,2014,2014,319,2904021,11,0.10%
Kansas,20,2015,2015,325,2911641,11.2,0.10%
Kansas,20,2016,2016,381,2907289,13.1,0.10%
Kentucky,21,1999,1999,523,4018053,13,0.10%
