State,State Code,Year,Year Code,Deaths,Population,Crude Rate,% of Total Deaths
Alabama,1,1999,1999,352,4430141,7.946,0.00154
Alabama,1,2000,2000,337,4447100,7.578,0.00147
Alabama,1,2001,2001,350,4467634,7.834,0.00153
Alabama,1,2002,2002,343,4480089,7.656,0.0015
Alabama,1,2003,2003,365,4503491,8.105,0.00159
Alabama,1,2004,2004,302,4530729,6.666,0.00132
Alabama,1,2005,2005,362,4569805,7.922,0.00158
Alabama,1,2006,2006,378,4628981,8.166,0.00165
Alabama,1,2007,2007,415,4672840,8.881,0.00181
Alabama,1,2008,2008,395,4718206,8.372,0.00172
Alabama,1,2009,2009,350,4757938,7.356,0.00153
Alabama,1,2010,2010,327,4779736,6.841,0.00143
Alabama,1,2011,2011,332,4802740,6.913,0.00145
Alabama,1,2012,2012,329,4822023,6.823,0.00144
Alabama,1,2013,2013,349,4833722,7.220,0.00152
Alabama,1,2014,2014,330,4849377,6.805,0.00144
Alabama,1,2015,2015,425,4858979,8.747,0.00185
Alabama,1,2016,2016,484,4863300,9.952,0.00211
Alaska,2,1999,1999,32,624779,5.122,0.00014
Alaska,2,2000,2000,19,626932,Unreliable,0.00008
Alaska,2,2001,2001,30,633714,4.734,0.00013
Alaska,2,2002,2002,33,642337,5.137,0.00014
Alaska,2,2003,2003,41,648414,6.323,0.00018
Alaska,2,2004,2004,22,659286,3.337,0.0001
Alaska,2,2005,2005,29,666946,4.348,0.00013
Alaska,2,2006,2006,32,675302,4.739,0.00014
Alaska,2,2007,2007,26,680300,3.822,0.00011
Alaska,2,2008,2008,23,687455,3.346,0.0001
Alaska,2,2009,2009,23,698895,3.291,0.0001
Alaska,2,2010,2010,36,710231,5.069,0.00016
Alaska,2,2011,2011,26,722718,3.598,0.00011
Alaska,2,2012,2012,31,731449,4.238,0.00014
Alaska,2,2013,2013,24,735132,3.265,0.0001
Alaska,2,2014,2014,30,736732,4.072,0.00013
Alaska,2,2015,2015,52,738432,7.042,0.00023
Alaska,2,2016,2016,58,741894,7.818,0.00025
Arizona,4,1999,1999,329,5023823,6.549,0.00144
Arizona,4,2000,2000,299,5130632,5.828,0.0013
Arizona,4,2001,2001,361,5273477,6.846,0.00157
Arizona,4,2002,2002,394,5396255,7.301,0.00172
Arizona,4,2003,2003,351,5510364,6.370,0.00153
Arizona,4,2004,2004,370,5652404,6.546,0.00161
Arizona,4,2005,2005,413,5839077,7.073,0.0018
Arizona,4,2006,2006,410,6029141,6.800,0.00179
Arizona,4,2007,2007,385,6167681,6.242,0.00168
Arizona,4,2008,2008,358,6280362,5.700,0.00156
Arizona,4,2009,2009,244,6343154,3.847,0.00106
Arizona,4,2010,2010,299,6392017,4.678,0.0013
Arizona,4,2011,2011,278,6482505,4.288,0.00121
Arizona,4,2012,2012,270,6553255,4.120,0.00118
Arizona,4,2013,2013,273,6626624,4.120,0.00119
Arizona,4,2014,2014,232,6731484,3.446,0.00101
Arizona,4,2015,2015,249,6828065,3.647,0.00109
Arizona,4,2016,2016,326,6931071,4.703,0.00142
Arkansas,5,1999,1999,149,2651860,5.619,0.00065
Arkansas,5,2000,2000,168,2673400,6.284,0.00073
Arkansas,5,2001,2001,132,2691571,4.904,0.00058
Arkansas,5,2002,2002,181,2705927,6.689,0.00079
Arkansas,5,2003,2003,146,2724816,5.358,0.00064
Arkansas,5,2004,2004,168,2749686,6.110,0.00073
Arkansas,5,2005,2005,175,2781097,6.292,0.00076
Arkansas,5,2006,2006,177,2821761,6.273,0.00077
Arkansas,5,2007,2007,179,2848650,6.284,0.00078
Arkansas,5,2008,2008,169,2874554,5.879,0.00074
Arkansas,5,2009,2009,178,2896843,6.145,0.00078
Arkansas,5,2010,2010,151,2915918,5.178,0.00066
Arkansas,5,2011,2011,159,2937979,5.412,0.00069
Arkansas,5,2012,2012,178,2949131,6.036,0.00078
Arkansas,5,2013,2013,177,2959373,5.981,0.00077
Arkansas,5,2014,2014,173,2966369,5.832,0.00075
Arkansas,5,2015,2015,175,2978204,5.876,0.00076
Arkansas,5,2016,2016,204,2988248,6.827,0.00089
California,6,1999,1999,1458,33499204,4.352,0.00636
California,6,2000,2000,1559,33871648,4.603,0.0068
California,6,2001,2001,1692,34479458,4.907,0.00738
California,6,2002,2002,1870,34871843,5.362,0.00816
California,6,2003,2003,1883,35253159,5.341,0.00822
California,6,2004,2004,1874,35574576,5.268,0.00818
California,6,2005,2005,2039,35827943,5.691,0.0089
California,6,2006,2006,1957,36021202,5.433,0.00854
California,6,2007,2007,1766,36250311,4.872,0.0077
California,6,2008,2008,1623,36604337,4.434,0.00708
California,6,2009,2009,1508,36961229,4.080,0.00658
California,6,2010,2010,1379,37253956,3.702,0.00602
California,6,2011,2011,1357,37691912,3.600,0.00592
California,6,2012,2012,1407,38041430,3.699,0.00614
California,6,2013,2013,1358,38332521,3.543,0.00592
California,6,2014,2014,1271,38802500,3.276,0.00555
California,6,2015,2015,1433,39144818,3.661,0.00625
California,6,2016,2016,1515,39250017,3.860,0.00661
Colorado,8,1999,1999,137,4226018,3.242,0.0006
Colorado,8,2000,2000,90,4301261,2.092,0.00039
Colorado,8,2001,2001,113,4425687,2.553,0.00049
Colorado,8,2002,2002,128,4490406,2.851,0.00056
Colorado,8,2003,2003,128,4528732,2.826,0.00056
Colorado,8,2004,2004,140,4575013,3.060,0.00061
Colorado,8,2005,2005,129,4631888,2.785,0.00056
Colorado,8,2006,2006,118,4720423,2.500,0.00051
Colorado,8,2007,2007,103,4803868,2.144,0.00045
Colorado,8,2008,2008,121,4889730,2.475,0.00053
Colorado,8,2009,2009,121,4972195,2.434,0.00053
Colorado,8,2010,2010,111,5029196,2.207,0.00048
Colorado,8,2011,2011,118,5116796,2.306,0.00051
Colorado,8,2012,2012,133,5187582,2.564,0.00058
Colorado,8,2013,2013,122,5268367,2.316,0.00053
Colorado,8,2014,2014,114,5355866,2.129,0.0005
Colorado,8,2015,2015,148,5456574,2.712,0.00065
Colorado,8,2016,2016,180,5540545,3.249,0.00079
Connecticut,9,1999,1999,86,3386401,2.540,0.00038
Connecticut,9,2000,2000,66,3405565,1.938,0.00029
Connecticut,9,2001,2001,76,3432835,2.214,0.00033
Connecticut,9,2002,2002,61,3458749,1.764,0.00027
Connecticut,9,2003,2003,64,3484336,1.837,0.00028
Connecticut,9,2004,2004,67,3496094,1.916,0.00029
Connecticut,9,2005,2005,75,3506956,2.139,0.00033
Connecticut,9,2006,2006,94,3517460,2.672,0.00041
Connecticut,9,2007,2007,71,3527270,2.013,0.00031
Connecticut,9,2008,2008,90,3545579,2.538,0.00039
Connecticut,9,2009,2009,80,3561807,2.246,0.00035
Connecticut,9,2010,2010,99,3574097,2.770,0.00043
Connecticut,9,2011,2011,99,3580709,2.765,0.00043
Connecticut,9,2012,2012,116,3590347,3.231,0.00051
Connecticut,9,2013,2013,66,3596080,1.835,0.00029
Connecticut,9,2014,2014,62,3596677,1.724,0.00027
Connecticut,9,2015,2015,82,3590886,2.284,0.00036
Connecticut,9,2016,2016,59,3576452,1.650,0.00026
Delaware,10,1999,1999,20,774990,2.581,0.00009
Delaware,10,2000,2000,11,783600,Unreliable,0.00005
Delaware,10,2001,2001,22,795699,2.765,0.0001
Delaware,10,2002,2002,35,806169,4.342,0.00015
Delaware,10,2003,2003,22,818003,2.689,0.0001
Delaware,10,2004,2004,29,830803,3.491,0.00013
Delaware,10,2005,2005,33,845150,3.905,0.00014
Delaware,10,2006,2006,34,859268,3.957,0.00015
Delaware,10,2007,2007,32,871749,3.671,0.00014
Delaware,10,2008,2008,54,883874,6.109,0.00024
Delaware,10,2009,2009,36,891730,4.037,0.00016
Delaware,10,2010,2010,45,897934,5.012,0.0002
Delaware,10,2011,2011,31,907135,3.417,0.00014
Delaware,10,2012,2012,46,917092,5.016,0.0002
Delaware,10,2013,2013,39,925749,4.213,0.00017
Delaware,10,2014,2014,39,935614,4.168,0.00017
Delaware,10,2015,2015,55,945934,5.814,0.00024
Delaware,10,2016,2016,46,952065,4.832,0.0002
District of Columbia,11,1999,1999,146,570213,25.604,0.00064
